Timestamp,Encoder Position,Target Position
0.0100507736206054,0.0,0.0
0.0200507736206054,0.0,0.0
0.030050773620605403,0.0,0.0
0.040050773620605405,0.0,0.0
0.05005077362060541,0.0,0.0
0.06005077362060541,0.0,0.0
0.07005077362060541,0.0,0.0
0.0800507736206054,0.0,0.0
0.09005077362060541,0.0,0.0
0.10005077362060542,0.0,0.0
0.11005077362060542,0.0,0.0
0.12005077362060541,0.0,0.0
0.1300507736206054,0.0,0.0
0.14005077362060542,0.0,0.0
0.15005077362060543,0.0,0.0
0.16005077362060544,0.0,0.0
0.17005077362060544,0.0,0.0
0.18005077362060545,0.0,0.0
0.19005077362060546,0.0,0.0
0.20005077362060542,0.0,0.0
0.21005077362060542,0.0,0.0
0.22005077362060543,0.0,0.0
0.23005077362060544,0.0,0.0
0.24005077362060545,0.0,0.0
0.25005077362060546,0.0,0.0
0.26005077362060547,0.0,0.0
0.2700507736206055,0.0,0.0
0.2800507736206055,0.0,0.0
0.29005077362060544,0.0,0.0
0.30005077362060545,0.0,0.0
0.31005077362060546,0.0,0.0
0.32005077362060547,0.0,0.0
0.3300507736206055,0.0,0.0
0.3400507736206055,0.0,0.0
0.3500507736206055,0.0,0.0
0.3600507736206055,0.0,0.0
0.3700507736206055,0.0,0.0
0.38005077362060546,0.0,0.0
0.3900507736206055,0.0,0.0
0.4000507736206055,0.0,0.0
0.4100507736206055,0.0,0.0
0.4200507736206055,0.0,0.0
0.4300507736206055,0.0,0.0
0.4400507736206055,0.0,0.0
0.45005077362060547,0.0,0.0
0.4600507736206055,0.0,0.0
0.4700507736206055,0.0,0.0
0.4800507736206055,0.0,0.0
0.4900507736206055,0.0,0.0
0.5000507736206055,0.0,0.0
0.5100507736206055,0.0,0.0
0.5200507736206055,0.0,0.0
0.5300507736206055,0.0,0.0
0.5400507736206055,0.0,0.0
0.5500507736206055,0.0,0.0
0.5600507736206055,0.0,0.0
0.5700507736206054,0.0,0.0
0.5800507736206054,0.0,0.0
0.5900507736206054,0.0,0.0
0.6000507736206054,0.0,0.0
0.6100507736206054,0.0,0.0
0.6200507736206055,0.0,0.0
0.6300507736206055,0.0,0.0
0.6400507736206055,0.0,0.0
0.6500507736206055,0.0,0.0
0.6600507736206055,0.0,0.0
0.6700507736206055,0.0,0.0
0.6800507736206055,0.0,0.0
0.6900507736206055,0.0,0.0
0.7000507736206055,0.0,0.0
0.7100507736206055,0.0,0.0
0.7200507736206055,0.0,0.0
0.7300507736206056,0.0,0.0
0.7400507736206055,0.0,0.0
0.7500507736206055,0.0,0.0
0.7600507736206055,0.0,0.0
0.7700507736206055,0.0,0.0
0.7800507736206055,0.0,0.0
0.7900507736206055,0.0,0.0
0.8000507736206055,0.0,0.0
0.8100507736206055,0.0,0.0
0.8200507736206055,0.0,0.0
0.8300507736206055,0.0,0.0
0.8400507736206055,0.0,0.0
0.8500507736206055,0.0,0.0
0.8600507736206056,0.0,0.0
0.8700507736206056,0.0,0.0
0.8800507736206056,0.0,0.0
0.8900507736206055,0.0,0.0
0.9000507736206055,0.0,0.0
0.9100507736206055,0.0,0.0
0.9200507736206055,0.0,0.0
0.9300507736206055,0.0,0.0
0.9400507736206055,0.0,0.0
0.9500507736206055,0.0,0.0
0.9600507736206055,0.0,0.0
0.9700507736206055,0.0,0.0
0.9800507736206056,0.0,0.0
0.9900507736206056,0.0,38190.61225127866
1.0000507736206057,0.0,122689.063332989
1.0100507736206057,0.0,172711.6635140157
1.0200507736206057,0.0,172711.6635140157
1.0300507736206057,0.0,172711.6635140157
1.0400507736206057,165.45810094334504,172711.6635140157
1.0500507736206057,575.0,172711.6635140157
1.0600507736206057,575.0,172711.6635140157
1.0700507736206057,683.7398140071587,172711.6635140157
1.0800507736206058,1191.3598627002411,172711.6635140157
1.0900507736206058,1623.2675972540173,172711.6635140157
1.1000507736206058,2055.1753318077936,172711.6635140157
1.1100507736206058,2487.0830663615698,172711.6635140157
1.1200507736206058,2918.9908009153455,172711.6635140157
1.1300507736206056,3350.898535469112,172711.6635140157
1.1400507736206056,3782.8062700228884,172711.6635140157
1.1500507736206056,4214.714004576665,172711.6635140157
1.1600507736206056,4646.62173913044,172711.6635140157
1.1700507736206056,5266.251770521074,172711.6635140157
1.1800507736206056,5859.611437432025,172711.6635140157
1.1900507736206056,6390.739206842932,172711.6635140157
1.2000507736206056,6996.611635031493,172711.6635140157
1.2100507736206056,7576.12675953415,172711.6635140157
1.2200507736206057,8102.201132781683,172711.6635140157
1.2300507736206057,8693.192238130794,172711.6635140157
1.2400507736206057,9302.4660310881,172711.6635140157
1.2500507736206057,9848.57075986041,172711.6635140157
1.2600507736206057,10419.027289515096,172711.6635140157
1.2700507736206057,11230.253356841937,172711.6635140157
1.2800507736206057,12149.968921248428,172711.6635140157
1.2900507736206057,12866.924855334417,172711.6635140157
1.3000507736206057,13729.579838050311,172711.6635140157
1.3100507736206057,14592.234820766205,172711.6635140157
1.3200507736206057,15454.8898034821,172711.6635140157
1.3300507736206058,16317.544786197994,172711.6635140157
1.3400507736206058,17180.199768913888,172711.6635140157
1.3500507736206058,18042.854751629784,172711.6635140157
1.3600507736206058,18905.509734345676,172711.6635140157
1.3700507736206058,20024.8981800247,172711.6635140157
1.3800507736206058,21172.883000415608,172711.6635140157
1.3900507736206058,22297.135423188847,172711.6635140157
1.4000507736206058,24714.72327813564,172711.6635140157
1.4100507736206058,25516.879644391363,172711.6635140157
1.4200507736206058,26054.52445659417,172711.6635140157
1.4300507736206058,28184.76771857993,172711.6635140157
1.4400507736206059,29307.468973415173,172711.6635140157
1.4500507736206059,30198.446447926286,172711.6635140157
1.4600507736206056,31045.255671087172,172711.6635140157
1.4700507736206057,32177.730620120696,172711.6635140157
1.4800507736206057,33313.42323923149,172711.6635140157
1.4900507736206057,34456.7689227995,172711.6635140157
1.5000507736206057,35602.89216938911,170965.36549437375
1.5100507736206057,36758.12681228725,163490.58779452028
1.5200507736206057,37913.36145518538,156015.81009466684
1.5300507736206057,39072.94473496298,149418.38722170738
1.5400507736206057,40265.88219326771,149418.38722170738
1.5500507736206057,41460.25250188175,149418.38722170738
